COURSE,COURSE_DESCR_TYPE,EFFDT,DESCRLONG
"2003","GI",7/1/2010,"Excel 2003 - Level I

Students will learn basic worksheet skills and how to work with data in spreadsheets.
Objectives:
Identify the disadvantages of paper spreadsheets and the advantages of electronic spreadsheets.
Create a basic worksheet by entering text, values and formulas.
Create formulas by using Excel?s built-in functions.
Move and copy data by using shortcut menus, drag-and-drop editing and toolbar buttons.
Change the appearance of worksheet data by using a variety of formatting techniques.
Prepare a document for printing by using the spell checking feature and a variety of formatting techniques.
Use the three-dimensional aspect of the Excel workbook environment by creating formulas that refer to cells on multiple worksheets.
Save an Excel workbook as a Web page."
"508","GI",11/24/2009,"Thinking Outside of the Box

Improve your decision-making by applying creative approaches to problem-solving.  Learn to analyze problems creatively, reorganize steps in creative problem solving, overcome resistance to change and bring creativity to your organization."
"2205","GI",7/2/2010,"Work it Out

Believe it or not, if you change your approach, most conflicts can be resolved more effectively, with less stress, tension, anxiety and fear.  In this course, participants will be provided with successful time-tested techniques to better manage conflicts and confrontations before they escalate into something more destructive."
"910","GI",7/28/2010,"Writing for the Professional

Description
This course teaches the fundamentals of effective writing. The course includes a review of grammar, punctuation, sentence structure, word choice, reasoning and organization. Participants will complete an in-class writing assignment to assess their current proficiency level."
"2199","GI",7/2/2010,"Using a PC Mouse

This 6-hour course provides hands-on experience in using the mouse to move around and operate in the Windows environment."
"REG063","GI",1/1/1902,"Hlth/Sfty: 13 DOT Ship Papers

This course provides an overview of the Department of Transportation shipping paper requirements for personnel managing hazardous materials.  The general requirements for shipping papers and the requirements for assigning basic shipping descriptions are provided.  Additional descriptions applicable to proper shipping names are also discussed.  The emergency response information required on a shipping paper is provided and the different types of certifications on a shipping paper are discussed.  Finally, the use of hazardous waste manifests as shipping papers is reviewed when shipping hazardous wastes."
"REG052","GI",1/1/1902,"Hlth/Sfty: 20 EPA Container

This course provides an overview of the requirements for generators who manage hazardous wastes in containers.  The general regulatory requirements are discussed, as well as the identification and definition of incompatible materials, and the individual requirements for marking, labeling, and inspecting containers.  Finally the requirements for the closure of an area used to manage containers are identified."
"REG232","GI",1/1/1902,"Hlth/Sfty: 38 Pwr Ind Truck 3

This course is designed to increase the worker's basic knowledge about OSHA requirements and recommendations relating to the use of powered industrial trucks at the worksite."
"REG088","GI",1/1/1902,"Hlth/Sfty: 40 SexHarrsPrv

This course provides an overview of Sexual Harassment prevention at your workplace. It explains what is and is not Sexual Harassment, how law defines Sexual Harassment, how you can deal with it and how to prevent it from happening at your workplace."
"REG050","GI",1/1/1902,"Hlth/Sfty: 31HarrasDiscrimMgt

This course provides managers with an overview of Harassment & Discrimination, classes legally protected from harassment & discrimination, Equal Employment Opportunity Commission regulations, important court cases, and federal statutes concerning harassment & discrimination in the workplace, and how to protect themselves, their fellow employees and their employer from prohibited harassment & discrimination."
"WKSC07","GI",1/1/1902,"Works:  7 Calendar and Cross-W

This course introduces users to the Works Calendar and to the functions that can be used across multiple applications in Works."
"PB181","GI",1/1/1902,"WrkplEnviron: 8 PrvntSex Har-P

All employees are entitled to respect in the workplace, including the right to be free of sexual harassment on the job. Preventing harassment in the workplace is a responsibility of all employees - no matter what position within the organization. During this program, you'll learn what really constitutes illegal harassment and how to recognize and avoid it."
"07VI06","GI",1/1/1902,"Visio 2007:  6 Building Stenci

This course explains both the out-of-the-box and customizable uses of Visio 2007 to work with stencils, templates and reports."
"WXPM05","GI",1/1/1902,"Word 2002:  5 Tables and Other

This course shows users how to create tables and insert objects into Word 2002 documents."
"WORD09","GI",1/1/1902,"Word 2003:  9 Creating Project

This course shows Word 2003 users how to create different types of projects including: letters, envelopes, greeting cards, and labels."
"07WO05","GI",1/1/1902,"Word 2007:  5 Building Tables

This course provides an overview of the tools used to create and modify tables in Microsoft Word 2007."
"STRE03","GI",1/1/1902,"Stress Management:  3 Assertiv

This course describes how assertiveness relates to stress reduction. You will learn how to respond assertively at work and in your personal life."
"SP0303","GI",1/1/1902,"SharePoint 2003:  3 Advanced S

This course shows learners how to customize standard library and document library lists, and how to use Office 2003 products with SharePoint. After taking this course, learners will be able to work with the more advanced features of SharePoint 2003, and to customize SharePoint to meet their specific needs."
"07SH03","GI",1/1/1902,"SharePoint 2007:  3 Using Libr

This course provides an overview of the tools used to manage lists and libraries in SharePoint 2007."
"PB149","GI",1/1/1902,"SlfMngt(VD): 4 NonStopChg

Change is an ongoing phenomenon in our everyday lives. Because constant change is found in our careers, as well as in our personal lives, it can be viewed overlapping with one another. This program will help you understand the movement through the three phases of transition. You will learn how to recognize the symptoms of the neutral zone and make the transition to change as the norm. Most importantly, this program is designed to help you create a plan to deal with those constant, overlapping changes."
"V_SH01","GI",1/1/1902,"SexHrassWrkp: 1 Getting Along

This course introduces learners to thinking and talking about sexual harassment in the workplace. Using conversational language, it humanizes the discussion while outlining primary concepts such as types of harassment, recommended responses, and the information that is important for claims evaluation."
"07SH02","GI",1/1/1902,"SharePoint 2007:  2 Managing D

This course provides an overview of the tools used to manage documents in SharePoint 2007."
"STRE04","GI",1/1/1902,"Stress Management:  4 Coping w

This course provides information on the nature of anger and the elements that contribute to it. You'll also learn tips on reducing feelings of anger, which will, in turn, lower your stress level."
"PB135","GI",1/1/1902,"Sale/Mrkt: 9 Approach

Step One of the Track Selling System, Approach, is just what it sounds like: getting to know your prospect, introducing yourself and establishing rapport. During this program, you'll learn the importance of the introduction during a sales call and ways to build rapport with prospects. You'll also learn how to sell yourself to a prospect and how long the rapport-building portion of your sales presentation should last."
"PB146","GI",1/1/1902,"SlfMngt(VD): 1 Assertive

Assertive people let others know what they want while preserving their own dignity and that of others. During this program, you'll learn the causes of unassertiveness and how to take action toward becoming more assertive."
"REG108","GI",1/1/1902,"Hlth/Sfty: 22 Ethylene Oxide

Ethylene oxide is a dangerous chemical that exposes workers to the risk of cancer and other health problems. This course provides workers with information on the properties, health hazards, OSHA regulations, and suggestions for safety measures to use with this chemical."
"REG200","GI",1/1/1902,"Hlth/Sfty: 41 Strm Water Mgt

This course will give the worker an introduction to the Storm Water Pollution Prevention Plan required by the EPA."
"PB177","GI",1/1/1902,"WrkplEnviron: 4 Ethical Decis

Successful employees understand they work in a complex and often ambiguous environment. Knowing how to make decisions that are aligned with legal parameters and specific company policies will enhance your company's reputation as well as your own. This program will increase your understanding of the meaning of business ethics, discuss its importance and explain how to make ethically sound decisions using the ethical decision-making model."
"WKSC01","GI",1/1/1902,"Works:  1 Getting Started

This course shows users how to get around in Works applications and manage Works documents."
"REG230","GI",1/1/1902,"Hlth/Sfty: 36 Pwr Ind Truck 1

This course is designed to increase the worker's understanding of the (1) types of powered industrial trucks, (2) basic knowledge about them, and (3) OSHA requirements and recommendations relating to their use."
"PB168","GI",1/1/1902,"WrkLifeBal: 7 Overload

The speed at which information is created and bombards us is creating a pervasive sense of overload. Watch as Debra Dinnocenzo, President of ALLearnatives, discusses why confronting the challenges of overload in an over-wired world is vital to our sense of balance and productivity."
"PB183","GI",1/1/1902,"WrkplEnviron: 10 PrvntViolen-P

Workplace violence is an unfortunate social phenomenon occurring throughout the United States. It is responsible for a growing number of deaths and injuries. Warning signs are all around and all employees need to be proactive in preventing a violent situation. During this program you'll learn how to identify the types of workplace violence, the warning signs to be aware of and what to do in an emergency."
"REG145","GI",1/1/1902,"Hlth/Sfty: 2 FCPA

This course will inform workers about the Foreign Corrupt Practices Act - including definitions used, standards companies must meet, and information about violations."
"PB161","GI",1/1/1902,"WrkLifeBal: 1 ChildCare

Selecting quality child care is a difficult decision faced by most working parents today. This program is designed to assist you in your child care search by describing the types of child care available, as well as what is meant by quality care. You will also be given the tools necessary to evaluate day care centers, providers, nannies and au pairs. By the completion of this program, you will be prepared to select the most suitable child care option for you and your child."
"PB174","GI",1/1/1902,"WrkplEnviron: 1 Computer Comfo

Understanding and applying the basics of ergonomics can put you in control of your comfort when using your computer. During this program you'll learn easy and effective ways to ease discomfort or prevent it from occurring. You'll also learn effective techniques for maximizing comfort in an ergonomically efficient workstation."
"07VI02","GI",1/1/1902,"Visio 2007:  2 Working with Sh

This course explains how to control shape size, position, and behavior. It also explains how to apply themes and print shapes."
"7SEV01","GI",1/1/1902,"Windows 7:  1 New Features

This course explains how to get the most out of all the new features in Windows 7."
"W2KM03","GI",1/1/1902,"Word 2000 MOS:  3 Formatting P

This course shows how to work with paragraphs, bulleted lists, and outlines in Word 2000."
"WORD03","GI",1/1/1902,"Word 2003:  3 Spell Checking, 

This course shows users how to use Word 2003 to check and correct the spelling and grammar of a document. It also covers how to save and prepare to print a Word 2003 document."
"TIME02","GI",1/1/1902,"TimeMngtFund: 2 Organizing

This course helps learners organize their tasks and prioritize their goals. This benefits learners by helping them establish the fundamentals of their time management plan."
"TIME03","GI",1/1/1902,"TimeMngtFund: 3 Mng Meetin

This course shows learners how to control the length and effectiveness of meetings. This helps the learner work with co-workers, superiors, and subordinates more efficiently and effectively."
"VIS206","GI",1/1/1902,"Visio 2002:  6 Working with Pa

This course explains how to make complex diagrams easier to construct and understand by adding pages and layers to break the diagram into multiple sections. It also explains how to edit an existing stencil, how to create a new stencil master, and how to create new stencils based on that master. Finally, it explains how to create a stencil that includes all the shapes from all the pages and layers of the user's document."
"V_SS02","GI",1/1/1902,"Six Sigma (Videos):  2 Six Sig

In this program, you'll learn the common factors of successful Six Sigma implementations and how to deploy a Six Sigma plan that reflects your organization's unique needs and culture. You'll also see important steps of each phase of deployment, from launching to managing and growing the effort."
"PB144","GI",1/1/1902,"Sale/Mrkt: 18 KeystoSuccMrkt

Marketing isn't just a department, it's everyone's job. Watch as Bob Rosner, founder and syndicated columnist of Working Wounded, provides tips on how to win with your marketing campaign."
"SAPR04","GI",1/1/1902,"SAP R/3 Release 4.6:  4 Optimi

This course shows the user how to customize the interface and how to access the R/3 help systems."
"PB158","GI",1/1/1902,"SlfMngt(VD): 13 GetMoreDone

Trying to get caught up at work is something many of us struggle with on a day-to-day basis. Watch as Bob Rosner, founder and syndicated columnist of Working Wounded, discusses how you can get more done at work and spend your time productively."
"SP0301","GI",1/1/1902,"SharePoint 2003:  1 SharePoint

This course provides an introduction to the features of Microsoft SharePoint 2003. It provides learners with the information they need to effectively access and navigate a SharePoint 2003 site."
"SPL2U4","GI",1/1/1902,"Spanish (Spain)

Unit 4- Dining and Vacation"
"SPL4U3","GI",1/1/1902,"Spanish (Spain)

Unit 3- At Home & Around Town"
"UKL1U3","GI",1/1/1902,"English (British)

Unit 3 - Work and School"
"UKL1U4","GI",1/1/1902,"English (British)

Unit 4 - Shopping"
"UKL4U2","GI",1/1/1902,"English (British)

Unit 2- Professions & Hobbies"
"GRL3U2","GI",1/1/1902,"Greek

Unit 2- Life and World"
"HEL1U1","GI",1/1/1902,"Hebrew

Unit 1 - Language Basics"
"HEL2U2","GI",1/1/1902,"Hebrew

Unit 2- Past and Future"
"HEL3U2","GI",1/1/1902,"Hebrew

Unit 2- Life and World"
"ITL4U3","GI",1/1/1902,"Italian

Unit 3- At Home & Around Town"
"ITL5U2","GI",1/1/1902,"Italian

Unit 2- Arts and Academics"
"JAL1U3","GI",1/1/1902,"Japanese

Unit 3 - Work and School"
"JAL2U1","GI",1/1/1902,"Japanese

Unit 1 - Travel"
"JAL3U2","GI",1/1/1902,"Japanese

Unit 2- Life and World"
"JAL3U3","GI",1/1/1902,"Japanese

Unit 3- Everyday Things"
"KOL1U1","GI",1/1/1902,"Korean

Unit 1 - Language Basics"
"KOL3U4","GI",1/1/1902,"Korean

Unit 4- Places and Events"
"LAL1U1","GI",1/1/1902,"Latin

Unit 1 - Language Basics"
"GEL3U1","GI",1/1/1902,"German

Unit 1- Home and Health"
"GEL3U2","GI",1/1/1902,"German

Unit 2- Life and World"
"ARL2U1","GI",1/1/1902,"Arabic

Unit 1 - Travel"
"ARL2U4","GI",1/1/1902,"Arabic

Unit 4- Dining and Vacation"
"DUL3U2","GI",1/1/1902,"Dutch

Unit 2- Life and World"
"SPL1U4","GI",1/1/1902,"Spanish (Spain)

Unit 4 - Shopping"
"FIL1U3","GI",1/1/1902,"Filipino (Tagalog)

Unit 3 - Work and School"
"FRL1U1","GI",1/1/1902,"French

Unit 1 - Language Basics"
"LAL3U2","GI",1/1/1902,"Latin

Unit 2- Life and World"
"PEL1U3","GI",1/1/1902,"Persian (Farsi)

Unit 3 - Work and School"
"PEL2U3","GI",1/1/1902,"Persian (Farsi)

Unit 3- Friends & Social Life"
"PEL3U3","GI",1/1/1902,"Persian (Farsi)

Unit 3- Everyday Things"
"PRL2U2","GI",1/1/1902,"Portuguese

Unit 2- Past and Future"
"SPL1U3","GI",1/1/1902,"Spanish (Spain)

Unit 3 - Work and School"
"SPL5U1","GI",1/1/1902,"Spanish (Spain)

Unit 1- Business and Industry"
"HEL2U1","GI",1/1/1902,"Hebrew

Unit 1 - Travel"
"HIL1U1","GI",1/1/1902,"Hindi

Unit 1 - Language Basics"
"HIL1U2","GI",1/1/1902,"Hindi

Unit 2 - Family and Friends"
"HIL2U1","GI",1/1/1902,"Hindi

Unit 1 - Travel"
"IRL1U3","GI",1/1/1902,"Irish

Unit 3 - Work and School"
"IRL2U3","GI",1/1/1902,"Irish

Unit 3- Friends & Social Life"
"ITL3U1","GI",1/1/1902,"Italian

Unit 1- Home and Health"
"ITL3U4","GI",1/1/1902,"Italian

Unit 4- Places and Events"
"ITL5U4","GI",1/1/1902,"Italian

Unit 4- Family and Community"
"KOL2U1","GI",1/1/1902,"Korean

Unit 1 - Travel"
"KOL3U2","GI",1/1/1902,"Korean

Unit 2- Life and World"
"FRL5U4","GI",1/1/1902,"French

Unit 4- Family and Community"
"GEL5U2","GI",1/1/1902,"German

Unit 2- Arts and Academics"
"GRL1U1","GI",1/1/1902,"Greek

Unit 1 - Language Basics"
"ARL1U4","GI",1/1/1902,"Arabic

Unit 4 - Shopping"
"ARL2U3","GI",1/1/1902,"Arabic

Unit 3- Friends & Social Life"
"CHL1U1","GI",1/1/1902,"Chinese (Mandarin)

Unit 1 - Language Basics"
"CHL3U4","GI",1/1/1902,"Chinese (Mandarin)

Unit 4- Places and Events"
"DUL1U2","GI",1/1/1902,"Dutch

Unit 2 - Family and Friends"
"DUL1U4","GI",1/1/1902,"Dutch

Unit 4 - Shopping"
"DUL2U1","GI",1/1/1902,"Dutch

Unit 1 - Travel"
"DUL3U3","GI",1/1/1902,"Dutch

Unit 3- Everyday Things"
"FIL2U4","GI",1/1/1902,"Filipino (Tagalog)

Unit 4- Dining and Vacation"
"FRL2U2","GI",1/1/1902,"French

Unit 2- Past and Future"
"FRL3U1","GI",1/1/1902,"French

Unit 1- Home and Health"
"USL1U1","GI",1/1/1902,"English (American) 

Unit 1 - Language Basics"
"USL1U3","GI",1/1/1902,"English (American) 

Unit 3 - Work and School"
"USL2U1","GI",1/1/1902,"English (American) 

Unit 1 - Travel"
"LAL3U3","GI",1/1/1902,"Latin

Unit 3- Everyday Things"
"LAL5U1","GI",1/1/1902,"Latin

Unit 1- Business and Industry"
"PEL3U4","GI",1/1/1902,"Persian (Farsi)

Unit 4- Places and Events"
"POL1U4","GI",1/1/1902,"Polish

Unit 4 - Shopping"
"SPL2U3","GI",1/1/1902,"Spanish (Spain)

Unit 3- Friends & Social Life"
"SPL3U3","GI",1/1/1902,"Spanish (Spain)

Unit 3- Everyday Things"
"SPL5U3","GI",1/1/1902,"Spanish (Spain)

Unit 3- Emergency Situations"
"UKL2U3","GI",1/1/1902,"English (British)

Unit 3- Friends & Social Life"
"UKL2U1","GI",1/1/1902,"English (British)

Unit 1 - Travel"
"UKL3U2","GI",1/1/1902,"English (British)

Unit 2- Life and World"
"UKL4U4","GI",1/1/1902,"English (British)

Unit 4- Style & Pers. Wellness"
"GRL3U4","GI",1/1/1902,"Greek

Unit 4- Places and Events"
"HIL1U3","GI",1/1/1902,"Hindi

Unit 3 - Work and School"
"DWEA12","GI",1/1/1902,"Dreamweaver MX: 12 Forms and I

This course explains HTML forms and how to use Dreamweaver to add interactive elements, such as search engines, online discussion areas, and e-commerce systems, to a Web site. Other topics include how to build master pages, create pages to search databases, and test the site with a live connection."
"BUSC03","GI",1/1/1902,"EffecBusiComm: 2 Writing Skil

This course will help you improve your business writing skills by choosing appropriate words, building effective sentences, and identifying and correcting common sentence faults."
"V_DI01","GI",1/1/1902,"DealDiffPeople: 1 Manage

This course introduces the major issues involved in dealing with difficult employees. It provides a three-step process to help transcend preconceptions about difficult people and avoid missteps in managing them."
"DIFF02","GI",1/1/1902,"DealDiffPeople: 2 Consideratio

After taking this course, the learner will be able to identify key causes of inconsiderate behavior in the workplace and outline polite, effective strategies for resolving the problems with the other people who are involved. Situations covered in this course include workspace issues such as noise, odors, and misuse of shared spaces, as well as interpersonal issues of respect and courtesy."
"DWEA01","GI",1/1/1902,"Dreamweaver MX:  1 Introductio

This course provides an introduction to the interface and the new features of Dreamweaver MX."
"DWEA06","GI",1/1/1902,"Dreamweaver MX:  6 Frames

This course provides information on HTML framesets: when to use them, when to avoid them, and step-by-step instructions for creating them using Dreamweaver MX."
"DWEA08","GI",1/1/1902,"Dreamweaver MX:  8 Dynamic HTM

This course explains the features of Dynamic HTML, such as layers and behaviors, which allow precise design control and new levels of interactivity. It also introduces extensions and shows how to locate, download, and install them."
"DW0401","GI",1/1/1902,"Dreamweaver MX 2004:  1 Interf

This course provides an overview of the Dreamweaver interface and basic concepts related to Web page creation."
"PB033","GI",1/1/1902,"CustServ: 8 Complaints

When customers complain, it shows they care. You want customers to complain so you can fix the problem. The challenge is to know the best way to resolve the situation. During this program, you'll learn why an organization should seek customer complaints, and learn appropriate customer service responses. You'll also learn a technique to help work through challenging customer service situations."
"DIFF07","GI",1/1/1902,"DealDiffPeople: 7 Responsibi

This course provides an overview of problems that arise from responsibility issues in the workplace. After taking this course, you will be able to identify key causes of irresponsible behavior in the workplace and outline thoughtful, effective strategies for resolving them."
"E2KE06","GI",1/1/1902,"Excel 2000 MOS Expert:  6 Anal

This course shows how to use data analysis tools such as Goal Seek, Solver, and Scenarios, and PivotTables and PivotCharts."
"COMC02","GI",1/1/1902,"Computing Concepts:  2 Securit

This course explains contingency planning and precautions against computer crime using the framework of administrative, physical and logical security."
"CRYS02","GI",1/1/1902,"Crystal Reports 8:  2 Designin

This course shows users how to create a custom report in Crystal Reports 8 and customize it by inserting special fields and changing object properties."
"XICR02","GI",1/1/1902,"Crystal Reports XI:  2 Selecti

This course provides an overview of working with data sources, including database drivers, data source selection, and data objects."
"PB016","GI",1/1/1902,"Cmmunction: 4 Meeting Partici

How can facilitators make the most of the meetings they lead? How can they ensure that all the participants stay focused and alert during meetings? Watch as Eli Mina, a professional meeting facilitator, seminar leader and the author of The Complete Handbook of Business Meetings, discusses ways to engage all meeting participants and keep them awake."
"COMC01","GI",1/1/1902,"Computing Concepts:  1 Types o

This course provides an advanced look at computer security features."
"COMC04","GI",1/1/1902,"Computing Concepts:  4 Selecti

This course introduces the principles of database management systems (DBMSs)."
"MATH03","GI",1/1/1902,"BasicBusiMath: 3 Calculator

This course provides instruction and practice in using a calculator for business math."
"BUDG01","GI",1/1/1902,"Budgeting and Saving:  1 Confr

This course provides a guide to assessing personal debt, formulating a budget, and maintaining a good credit rating."
"BIZA55","GI",1/1/1902,"CBAP v2: 8 Prac Exam 1

This course presents questions that will help you prepare for the Certified Business Analysis Professional (CBAP v2) exam."
"BETH03","GI",1/1/1902,"Business Ethics:  3 Ethical Di

This course features practical instruction for searching the Internet for legal information relevant to business ethics."
"L_BI07","GI",1/1/1902,"CBAP v2: 7 Fundamentals

This course provides information on the fundamental skills needed to perform the job of a business analyst. This course also discusses how to apply practical skill areas to the field of business analysis."
"MATH04","GI",1/1/1902,"BasicBusiMath: 4 Equations

This course discusses equations and ratios. It teaches what equations and ratios are and how to use them to solve many different word problems."
"A2KM02","GI",1/1/1902,"Access 2000 MOS:  2 Building T

This course shows users how to create and populate database tables in Access 2000."
"A2KM04","GI",1/1/1902,"Access 2000 MOS:  4 Sorting an

This course shows users how to find, filter, and sort records in Access 2000."
"AXPM03","GI",1/1/1902,"Access 2002:  3 Modifying Tabl

This course shows users how to edit table data, table structure, and field properties in Access 2002."
"RSP006","GI",1/1/1902,"25 Forklift Safety (Seguridad con los Montacargas)

Este curso provee una vista en general del uso de los montacargas. Discute los tipos de montacargas, sus capacidades y sus valuaciones, como operar los montacargas seguramente, y sus instruciones en operando montacargas en los muelles de carga y los remolques."
"PHSC03","GI",1/1/1902,"Photoshop:  3 Selecting and Re

This course explains how to select and crop portions of an image file and how to touch up a scanned photograph using the Rubber Stamp tool."
"PHOT01","GI",1/1/1902,"Photoshop 7:  1 The Applicatio

This course provides an overview of the use of the Photoshop 7 interface and new product features."
"MOTC05","GI",1/1/1902,"Motivation:  5 Building Trust

This course explains how to encourage trust from and in your employees."
"PB117","GI",1/1/1902,"MngLaw(VD): 9 FLSA

The Fair Labor Standards Act, or FLSA, is the federal law that governs workplace wages and hours, requiring strict compliance by employers. Along with state wage-hour laws, the FLSA makes up the body of law that must be followed by each employer. During this program, you'll learn the limitation of coverage under the FLSA and how employees are treated depending on position or level. You'll also learn the pay requirements and applicability of the FLSA, and how to make important payroll choices. In addition, you'll learn the FLSA requirements for documenting hours and wages of your employees."
"PB119","GI",1/1/1902,"MngLaw(VD): 11 Freedom/Speech

You might think your employees are free to say anything they want within the workplace. However, the right to free speech is limited in the private workplace. During this program, you'll learn the constitutional protections for public employees and the limits on free speech rights. In addition, you'll learn the differing rights of public and private employees."
"PB189","GI",1/1/1902,"MngLaw(VD): 14 RspectIndivRigh

Even though most states are employment-at-will territories, employees do have rights in the workplace that are guaranteed by law. During this program, you'll learn how company policies are essential tools for preventing trouble in the workplace. You'll also learn employees' rights to inspect their personnel files and other laws regarding employees' rights. In addition, you'll learn employers' rights to monitor their employees as regards sexual harassment and discrimination."
"PB188","GI",1/1/1902,"Management(Vd): 21 Giving

If you give employees time and support, you'll be overwhelmed with what they'll offer. Watch as Bob Rosner, founder and syndicated columnist of Working Wounded, discusses how respecting and developing employees can bring impressive results to your business."
"PB093","GI",1/1/1902,"Management (Videos):  4 Fire U

Motivating and retaining employees are now considered to be the most critical performance issues facing managers in today's workplace. During this program, you'll learn how to instill employee motivation and create a fun work environment where people love to do their jobs. You'll also learn how to blast de-motivators and discover that fired up people are the key to higher levels of productivity."
"PB097","GI",1/1/1902,"Management (Videos):  8 Knowle

Companies compete based on the knowledge of their employees. Watch as Dr. Vinod Jain, CEO of NextBase Corporation, discusses how to utilize, capture and access your employees' knowledge."
"MNGS01","GI",1/1/1902,"Mngt Skills Intr: 1 ReadySet

This course provides the learner with answers to questions new managers often have at the start of their management career such as the biggest mistakes made by new managers, how to build successful teams, and how to effectively manage a boss."
"PB079","GI",1/1/1902,"Leadership(Vd):22 Tilt Field

Today's leadership must be taken to a different level, a level more invisible, yet more powerful. Through special retention and globalism practices of the new Thoughtware, leadership success can be achieved. During this program, you'll learn the importance of employee retention and the new commitment. You'll also learn how to think globally and how to become engaged in the mind set of invisible leadership."
"LTNT01","GI",1/1/1902,"Lotus Notes 6.5:  1 Mail

This course  teaches the learner how to use the mail features in Lotus Notes. The learner will be shown how to move around in Notes, and how to change and lock passwords. The course also teaches the learner how to open and close the mailbox and read, send, reply to, and forward e-mail messages. The course also covers the organizational features of Notes, including sorting messages, deleting messages, using folders, and printing mail. Finally, the learner will be shown how to choose letterhead, create stationery, use bookmarks, and create an Out of Office Message."
"PHOT04","GI",1/1/1902,"Photoshop 7:  4 Saving and Pri

This course shows users how to use Photoshop 7 to save images in a variety of formats (TIFF, JPEG, GIF, EPS, PICT, BMP, PDF, PSD) and print images, contact sheets, picture packages, as well as prepare images for off-set printing."
"LTNT03","GI",1/1/1902,"Lotus Notes 6.5:  3 Databases

This course provides an overview of Lotus Notes databases. It shows the learner how to open databases and use views. The learner will also be taught how to access the About and Using this Database documents. Finally, the learner will be introduced to the indexing and search features of Lotus Notes."
"LONO04","GI",1/1/1902,"Lotus Notes 8.5:  4 Defining C

This course describes the Contacts and To Do applications in Lotus Notes 8.5."
"LONO05","GI",1/1/1902,"Lotus Notes 8.5:  5 Using the 

This course describes four productivity tools you can use within Lotus Notes - a word processor, a presentation program, a spreadsheet program, and a Web browser."
"PB086","GI",1/1/1902,"Leading Teams(VD): 4 Team Lrn

For teams to be successful, they need to constantly be learning how to move faster and maintain flexibility in order to achieve positive results. Bill Underwood, cofounder of Catalyst Consulting Team, tells us how he has helped teams learn and grow to become effective teams."
"PB060","GI",1/1/1902,"Leadership (Videos):  3 Digita

Channel conflict. Cannibalized products. Confused customers. Watch as Walid Mougayar, President of CYBERManagement, Inc., and internationally recognized management consultant, speaker and author, discusses how organizations can address the challenges of doing business over the Internet."
"PCS408","GI",1/1/1902,"Introduction to PCs:  8 Introd

This course introduces users to the Internet and explains how to use a Web browser and e-mail."
"2070","GI",7/2/2010,"General Discipline

"
"2193","GI",7/2/2010,"Using Numerical Data

"
"2041","GI",7/1/2010,"CPR/First Aid

"
"2143","GI",7/2/2010,"Myers-Briggs Type Indicator

"
